variant,task_id,model_family,method,n_seeds,on_front,frontier_resampling_frequency,capability,capability_ci_low,capability_ci_high,capability_seed_sd,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,unwanted_generalization_seed_sd
current_filtered,german_city_names,llama31_8b,ip,5,False,0.0,0.6058993044265504,0.5612244897959184,0.65407493831647,0.06076062513470179,0.022405372405372406,0.0031746031746031746,0.041636141636141634,0.024352241090815428
current_filtered,german_city_names,qwen3_8b,baseline,5,False,0.0,0.8738927308257323,0.8437775689713675,0.9039740772748754,0.03893147410692142,0.1599901469498689,0.13598667160310995,0.1826909708569901,0.029886172673090922
current_filtered,german_city_names,qwen3_8b,freeze_first,5,False,0.0,0.798894823313102,0.7672381445299864,0.8346628679962013,0.042571348959852935,0.20456301601747123,0.13167682450382873,0.27744920753111374,0.09438965314104271
current_filtered,german_city_names,qwen3_8b,freeze_second,5,False,0.0,0.833608851914275,0.7942486658139638,0.884223908621499,0.05837167360665572,0.1035124883286648,0.06386029411764707,0.15572128851540618,0.062021552004975444
current_filtered,german_city_names,qwen3_8b,freeze_last,5,True,0.6244,0.910716639214686,0.8775277236079984,0.9439055548213735,0.04283320797460079,0.00797945205479452,0.0,0.01893835616438356,0.012129525908356588
current_filtered,german_city_names,qwen3_8b,kld,5,True,0.9212,0.9047425918053096,0.8797876684360963,0.9257745564128543,0.029292658939200016,0.0,0.0,0.0,0.0
current_filtered,german_city_names,qwen3_8b,ip,5,False,0.0,0.6431341843839492,0.5450211045716664,0.7133519255475825,0.11043721140512161,0.02559652852624205,0.015025062656641603,0.0361679943958425,0.013285088187303387
current_filtered,german_city_names,olmo3_7b,baseline,5,False,0.0093,0.9142383307497356,0.8770300927634654,0.9521739130434783,0.04688149114170493,0.14621211605623458,0.1192416460176023,0.1825297670405522,0.041090891902485494
current_filtered,german_city_names,olmo3_7b,freeze_first,5,False,0.0,0.6956327622994289,0.673844673844674,0.7164169164169164,0.02805336336645739,0.0,0.0,0.0,0.0
current_filtered,german_city_names,olmo3_7b,freeze_second,5,False,0.0,0.8707002962090844,0.8270578121641952,0.9136510806492305,0.05603792085094223,0.06290274352850819,0.03980123818833496,0.08345916266300617,0.026948654163013563
