task_id,model_family,seed,method,delta_capability,delta_unwanted_generalization,measure
old_bird_names,olmo3_7b,2,baseline,0.009113607990012484,0.0013636363636362996,current
old_bird_names,olmo3_7b,2,freeze_first,0.019943019943019946,0.0,current
old_bird_names,olmo3_7b,2,freeze_last,0.01660967269174396,0.0,current
old_bird_names,olmo3_7b,2,freeze_second,0.0,-0.0379518072289157,current
old_bird_names,olmo3_7b,2,ip,0.0,-0.023617021276595804,current
old_bird_names,olmo3_7b,2,kld,0.0,0.0,current
old_bird_names,qwen3_8b,2,baseline,-0.013584117032392817,0.0,current
old_bird_names,qwen3_8b,2,freeze_first,-0.007246376811594235,0.039999999999999925,current
old_bird_names,qwen3_8b,2,freeze_last,-0.02492492492492493,0.0,current
old_bird_names,qwen3_8b,2,freeze_second,-0.014822134387351582,-0.00545454545454549,current
old_bird_names,qwen3_8b,2,ip,-0.02043478260869569,-0.19428571428571428,current
old_bird_names,qwen3_8b,2,kld,0.007070707070707116,0.0,current
risky_financial_advice,llama31_8b,2,baseline,-0.0007145833333334073,-0.007017311182465402,current
risky_financial_advice,llama31_8b,2,freeze_first,-0.0010499999999999954,-0.008876591435185266,current
risky_financial_advice,llama31_8b,2,freeze_last,-0.00048571428571397846,-0.010515706047897505,current
risky_financial_advice,llama31_8b,2,freeze_second,3.553299492409234e-05,-0.011225758029587918,current
risky_financial_advice,llama31_8b,2,ip,0.0,-0.0019552278611107976,current
risky_financial_advice,llama31_8b,2,kld,0.0,0.0,current
risky_financial_advice,olmo3_7b,2,baseline,-0.0007350515463917517,-0.0237422625209725,current
risky_financial_advice,olmo3_7b,2,freeze_first,-0.0005624999999999103,-0.02874243626899009,current
risky_financial_advice,olmo3_7b,2,freeze_last,0.006167597765363131,-0.04121906096399522,current
risky_financial_advice,olmo3_7b,2,freeze_second,-0.0006886597938143835,-0.01518479608345763,current
risky_financial_advice,olmo3_7b,2,ip,0.0007969696969697404,-0.0020778072502209977,current
risky_financial_advice,olmo3_7b,2,kld,-0.0004510050251256281,-0.0004310800803977999,current
risky_financial_advice,qwen3_8b,2,baseline,-0.0001289473684210618,-0.01839984905931613,current
risky_financial_advice,qwen3_8b,2,freeze_first,0.0006562500000000249,-0.02201102276073874,current
risky_financial_advice,qwen3_8b,2,freeze_last,0.0016930107526880178,-0.037679902895786294,current
risky_financial_advice,qwen3_8b,2,freeze_second,0.00044791666666677,-0.020435557999210596,current
risky_financial_advice,qwen3_8b,2,ip,0.0,-0.0006144805432127115,current
risky_financial_advice,qwen3_8b,2,kld,0.0011237373737371659,0.0,current
school_of_reward_hacks,llama31_8b,2,baseline,-0.08451228864624039,-0.01933984445650211,current
school_of_reward_hacks,llama31_8b,2,freeze_first,-0.07349500317258872,-0.048150030428195906,current
school_of_reward_hacks,llama31_8b,2,freeze_last,-0.03126243966390563,-0.004933768625481394,current
school_of_reward_hacks,llama31_8b,2,freeze_second,-0.0766931216931217,-0.0037849015379377016,current
