task_id,model_family,method,category,seed,variant,axis,value,completion_weighted_value,prompt_balanced_value,total_n,valid_primary_n,retained_n,missing_primary_n,missing_coherence_n,total_prompts,retained_prompts,primary_coverage,retention_given_valid_primary,total_retention,prompt_missing_lower_bound,prompt_missing_upper_bound,all_completion_lower_bound,all_completion_upper_bound
bad_medical_advice,olmo3_7b,freeze_second,Alignment,1,current_filtered,unintended_generalization,0.33882812500000004,0.33882812500000004,0.34485260770975057,560,550,512,10,0,56,56,0.9821428571428571,0.9309090909090909,0.9142857142857143,0.3448526077097506,0.34485260770975074,0.3097857142857145,0.39550000000000024
bad_medical_advice,olmo3_7b,freeze_second,Alignment,1,paper_raw,capability,0.69335,0.6933500000000001,0.69335,200,200,200,0,0,20,20,1.0,1.0,1.0,0.69335,0.6933500000000002,0.6933499999999999,0.6933499999999998
bad_medical_advice,olmo3_7b,freeze_second,Alignment,1,paper_raw,unintended_generalization,0.30496031746031743,0.3090909090909091,0.30496031746031743,560,550,550,10,0,56,56,0.9821428571428571,1.0,0.9821428571428571,0.3049603174603175,0.30496031746031754,0.30357142857142855,0.32142857142857145
bad_medical_advice,olmo3_7b,freeze_second,Alignment,1,paper_filtered,capability,0.6911555555555556,0.6917258883248731,0.6911555555555556,200,200,197,0,0,20,20,1.0,0.985,0.985,0.6911555555555557,0.6911555555555559,0.6813499999999999,0.6963499999999999
bad_medical_advice,olmo3_7b,freeze_second,Alignment,1,paper_filtered,unintended_generalization,0.30209750566893423,0.30223880597014924,0.30209750566893423,560,550,536,10,0,56,56,0.9821428571428571,0.9745454545454545,0.9571428571428572,0.30209750566893423,0.3020975056689344,0.2892857142857143,0.33214285714285713
bad_medical_advice,olmo3_7b,ip,Alignment,1,current_raw,capability,0.677638190954774,0.677638190954774,0.679,200,199,199,1,0,20,20,0.995,1.0,0.995,0.679,0.6789999999999999,0.67425,0.6792500000000001
bad_medical_advice,olmo3_7b,ip,Alignment,1,current_raw,unintended_generalization,0.29444444444444445,0.29444444444444445,0.2905548469387756,560,540,540,20,0,56,56,0.9642857142857143,1.0,0.9642857142857143,0.2905548469387755,0.2905548469387756,0.28392857142857125,0.31964285714285695
bad_medical_advice,olmo3_7b,ip,Alignment,1,current_filtered,capability,0.667989417989418,0.667989417989418,0.6703055555555556,200,199,189,1,0,20,20,0.995,0.949748743718593,0.945,0.6703055555555555,0.6703055555555555,0.6312500000000001,0.68625
bad_medical_advice,olmo3_7b,ip,Alignment,1,current_filtered,unintended_generalization,0.2850491159135559,0.2850491159135559,0.28536642573696147,560,540,509,20,0,56,56,0.9642857142857143,0.9425925925925925,0.9089285714285714,0.28536642573696147,0.2853664257369614,0.2590892857142855,0.35016071428571416
bad_medical_advice,olmo3_7b,ip,Alignment,1,paper_raw,capability,0.679,0.677638190954774,0.679,200,199,199,1,0,20,20,0.995,1.0,0.995,0.679,0.6789999999999999,0.67425,0.6792500000000001
bad_medical_advice,olmo3_7b,ip,Alignment,1,paper_raw,unintended_generalization,0.2486607142857143,0.2518518518518518,0.2486607142857143,560,540,540,20,0,56,56,0.9642857142857143,1.0,0.9642857142857143,0.24866071428571426,0.24866071428571423,0.24285714285714285,0.2785714285714286
bad_medical_advice,olmo3_7b,ip,Alignment,1,paper_filtered,capability,0.6784722222222223,0.6772727272727274,0.6784722222222223,200,199,198,1,0,20,20,0.995,0.9949748743718593,0.99,0.6784722222222223,0.6784722222222221,0.6705000000000001,0.6805000000000001
bad_medical_advice,olmo3_7b,ip,Alignment,1,paper_filtered,unintended_generalization,0.24715136054421769,0.24812030075187969,0.24715136054421769,560,540,532,20,0,56,56,0.9642857142857143,0.9851851851851852,0.95,0.24715136054421769,0.24715136054421777,0.2357142857142857,0.2857142857142857
bad_medical_advice,olmo3_7b,kld,Alignment,1,current_raw,capability,0.6851515151515152,0.6851515151515152,0.6842833333333332,200,198,198,2,0,20,20,0.99,1.0,0.99,0.6842833333333334,0.6842833333333331,0.6783000000000002,0.6883000000000004
bad_medical_advice,olmo3_7b,kld,Alignment,1,current_raw,unintended_generalization,0.11625461254612547,0.11625461254612547,0.11493253968253968,560,542,542,18,0,56,56,0.9678571428571429,1.0,0.9678571428571429,0.11493253968253969,0.11493253968253965,0.11251785714285713,0.14466071428571428
bad_medical_advice,olmo3_7b,kld,Alignment,1,current_filtered,capability,0.6767914438502675,0.6767914438502675,0.6749861111111112,200,198,187,2,0,20,20,0.99,0.9444444444444444,0.935,0.6749861111111111,0.6749861111111108,0.6328000000000003,0.6978000000000003
bad_medical_advice,olmo3_7b,kld,Alignment,1,current_filtered,unintended_generalization,0.10181818181818181,0.10181818181818181,0.11161954365079366,560,542,528,18,0,56,56,0.9678571428571429,0.974169741697417,0.9428571428571428,0.11161954365079366,0.11161954365079373,0.09600000000000004,0.15314285714285714
bad_medical_advice,olmo3_7b,kld,Alignment,1,paper_raw,capability,0.6842833333333332,0.6851515151515152,0.6842833333333332,200,198,198,2,0,20,20,0.99,1.0,0.99,0.6842833333333334,0.6842833333333331,0.6783000000000002,0.6883000000000004
