variant,method,relative_sft_capability_floor,absolute_capability_floor,ug_improvement_required,n_cells,feasible_cells,feasible_and_improved_cells,mean_ug_reduction_on_feasible_cells
paper_raw,ip,0.95,0.0,0.01,21,3,3,0.07818310657596372
paper_raw,freeze_first,0.95,0.1,0.01,21,9,2,-0.015735470449394297
paper_raw,freeze_second,0.95,0.1,0.01,21,11,5,0.018438240631422437
paper_raw,freeze_last,0.95,0.1,0.01,21,13,9,0.0461580710955711
paper_raw,kld,0.95,0.1,0.01,21,9,9,0.2842607795643509
paper_raw,ip,0.95,0.1,0.01,21,2,2,0.10588577097505669
paper_raw,freeze_first,1.0,0.0,0.01,21,9,2,-0.017364725013172655
paper_raw,freeze_second,1.0,0.0,0.01,21,9,3,0.0035628803148644397
paper_raw,freeze_last,1.0,0.0,0.01,21,11,7,0.0034804292929293042
paper_raw,kld,1.0,0.0,0.01,21,4,4,0.10765360449735449
paper_raw,ip,1.0,0.0,0.01,21,2,2,0.043140589569161
paper_raw,freeze_first,1.0,0.1,0.01,21,8,2,-0.018285315639819236
paper_raw,freeze_second,1.0,0.1,0.01,21,8,3,0.004193425539407682
paper_raw,freeze_last,1.0,0.1,0.01,21,11,7,0.0034804292929293042
paper_raw,kld,1.0,0.1,0.01,21,3,3,0.13408597883597884
paper_raw,ip,1.0,0.1,0.01,21,1,1,0.06350340136054422
paper_filtered,freeze_first,0.5,0.0,0.01,21,16,3,-0.06331605572137215
paper_filtered,freeze_second,0.5,0.0,0.01,21,20,8,-0.007742939743237362
paper_filtered,freeze_last,0.5,0.0,0.01,21,21,13,0.0830805547647951
paper_filtered,kld,0.5,0.0,0.01,21,19,16,0.21366479337171693
paper_filtered,ip,0.5,0.0,0.01,21,13,9,0.03148683371302417
paper_filtered,freeze_first,0.5,0.1,0.01,21,15,3,-0.06658033597934016
paper_filtered,freeze_second,0.5,0.1,0.01,21,17,8,0.005901941416297159
paper_filtered,freeze_last,0.5,0.1,0.01,21,21,13,0.0830805547647951
paper_filtered,kld,0.5,0.1,0.01,21,16,14,0.2469850439807657
paper_filtered,ip,0.5,0.1,0.01,21,10,7,0.036358809752857345
paper_filtered,freeze_first,0.75,0.0,0.01,21,14,3,-0.05632152399902849
paper_filtered,freeze_second,0.75,0.0,0.01,21,18,7,-0.01530123816267996
paper_filtered,freeze_last,0.75,0.0,0.01,21,19,12,0.08753889398218972
paper_filtered,kld,0.75,0.0,0.01,21,17,14,0.2160187007462918
paper_filtered,ip,0.75,0.0,0.01,21,11,7,0.019523080214638635
paper_filtered,freeze_first,0.75,0.1,0.01,21,13,3,-0.059549960318042064
paper_filtered,freeze_second,0.75,0.1,0.01,21,15,7,-0.0013486991990960225
paper_filtered,freeze_last,0.75,0.1,0.01,21,19,12,0.08753889398218972
paper_filtered,kld,0.75,0.1,0.01,21,15,13,0.242475515166785
paper_filtered,ip,0.75,0.1,0.01,21,8,5,0.02112664270253553
paper_filtered,freeze_first,0.9,0.0,0.01,21,13,2,-0.07122171448979625
paper_filtered,freeze_second,0.9,0.0,0.01,21,17,7,-0.01269125419528081
paper_filtered,freeze_last,0.9,0.0,0.01,21,15,9,0.09048141200363423
paper_filtered,kld,0.9,0.0,0.01,21,12,11,0.21631175821900026
paper_filtered,ip,0.9,0.0,0.01,21,7,5,0.03467209387362447
paper_filtered,freeze_first,0.9,0.1,0.01,21,12,2,-0.07596086970962494
paper_filtered,freeze_second,0.9,0.1,0.01,21,15,7,-0.0013486991990960225
paper_filtered,freeze_last,0.9,0.1,0.01,21,15,9,0.09048141200363423
paper_filtered,kld,0.9,0.1,0.01,21,10,10,0.2560555913442818
paper_filtered,ip,0.9,0.1,0.01,21,6,4,0.03665447988959892
paper_filtered,freeze_first,0.95,0.0,0.01,21,11,2,-0.05271184183169602
paper_filtered,freeze_second,0.95,0.0,0.01,21,15,7,0.005466314028417193
paper_filtered,freeze_last,0.95,0.0,0.01,21,13,7,0.04761462853724759
paper_filtered,kld,0.95,0.0,0.01,21,11,10,0.22876642663493307
paper_filtered,ip,0.95,0.0,0.01,21,3,3,0.06676500549714835
paper_filtered,freeze_first,0.95,0.1,0.01,21,10,2,-0.05654784082968044
paper_filtered,freeze_second,0.95,0.1,0.01,21,13,7,0.021347349519968563
paper_filtered,freeze_last,0.95,0.1,0.01,21,13,7,0.04761462853724759
paper_filtered,kld,0.95,0.1,0.01,21,9,9,0.27569394531100877
paper_filtered,ip,0.95,0.1,0.01,21,2,2,0.08875861935683364
paper_filtered,freeze_first,1.0,0.0,0.01,21,9,2,-0.019728428662615535
paper_filtered,freeze_second,1.0,0.0,0.01,21,9,3,-0.019101752120601348
paper_filtered,freeze_last,1.0,0.0,0.01,21,11,5,0.004145943562610233
paper_filtered,kld,1.0,0.0,0.01,21,5,5,0.10623986291486291
paper_filtered,ip,1.0,0.0,0.01,21,3,3,0.06676500549714835
paper_filtered,freeze_first,1.0,0.1,0.01,21,8,2,-0.020400500763960994
paper_filtered,freeze_second,1.0,0.1,0.01,21,7,3,0.003372152035417321
paper_filtered,freeze_last,1.0,0.1,0.01,21,11,5,0.004145943562610233
paper_filtered,kld,1.0,0.1,0.01,21,4,4,0.12571070827320827
paper_filtered,ip,1.0,0.1,0.01,21,2,2,0.08875861935683364
