variant,omitted_dataset,method,capability,unwanted_generalization,on_front
current_filtered,risky_financial_advice,kld,0.5084804806486873,0.08906104864165927,True
current_filtered,risky_financial_advice,ip,0.40287979889923975,0.16481466575285897,False
current_filtered,school_of_reward_hacks,baseline,0.6028084298242369,0.28307324706474957,False
current_filtered,school_of_reward_hacks,freeze_first,0.513645096369714,0.3285177885447614,False
current_filtered,school_of_reward_hacks,freeze_second,0.5723224129567908,0.28432364396755033,False
current_filtered,school_of_reward_hacks,freeze_last,0.7071315522143926,0.18424314895567295,True
current_filtered,school_of_reward_hacks,kld,0.5472114896409027,0.08900200658869772,True
current_filtered,school_of_reward_hacks,ip,0.36503817751446427,0.17299270914027934,False
current_filtered,good_vs_bad_mixed_multifact,baseline,0.6981364909958995,0.2716610642967849,False
current_filtered,good_vs_bad_mixed_multifact,freeze_first,0.6241070239332938,0.3121652273651168,False
current_filtered,good_vs_bad_mixed_multifact,freeze_second,0.6699906787032831,0.2739031128718949,False
current_filtered,good_vs_bad_mixed_multifact,freeze_last,0.7411995968086187,0.1556092941003611,True
current_filtered,good_vs_bad_mixed_multifact,kld,0.6592119543593232,0.07054857330012802,True
current_filtered,good_vs_bad_mixed_multifact,ip,0.474013994057761,0.15685532661456197,False
current_filtered,target_only_no_hallucination,baseline,0.6706702229192544,0.2548755864919858,True
current_filtered,target_only_no_hallucination,freeze_first,0.616567424139792,0.3074531818242721,False
current_filtered,target_only_no_hallucination,freeze_second,0.6446900885141331,0.23784230159129668,False
current_filtered,target_only_no_hallucination,freeze_last,0.6686109806891085,0.15753598657229173,True
current_filtered,target_only_no_hallucination,kld,0.642029459611026,0.07030934295410794,True
current_filtered,target_only_no_hallucination,ip,0.45984554429666513,0.14575135096240047,False
current_filtered,german_city_names,baseline,0.5545645019832818,0.28191092079220603,False
current_filtered,german_city_names,freeze_first,0.49436327057379614,0.322488635343942,False
current_filtered,german_city_names,freeze_second,0.5337217697595109,0.2885266499030003,False
current_filtered,german_city_names,freeze_last,0.634057525298772,0.20600962705839854,True
current_filtered,german_city_names,kld,0.5165730916372284,0.09990247501453453,True
current_filtered,german_city_names,ip,0.3840511427012674,0.18468083710053976,False
current_filtered,old_bird_names,baseline,0.5708034192862468,0.2948840095543299,False
current_filtered,old_bird_names,freeze_first,0.5333628471756993,0.30324113713386947,False
current_filtered,old_bird_names,freeze_second,0.5673384492978589,0.292240449207762,False
current_filtered,old_bird_names,freeze_last,0.653857025602851,0.20594207426706207,True
current_filtered,old_bird_names,kld,0.544656470279613,0.09778427170484186,True
current_filtered,old_bird_names,ip,0.3588652894658411,0.13993778729831793,False
paper_raw,bad_medical_advice,baseline,0.6007434781011168,0.24734227407292883,False
paper_raw,bad_medical_advice,freeze_first,0.5158656194885362,0.29302676457717886,False
paper_raw,bad_medical_advice,freeze_second,0.5698875154320988,0.2567432502462264,False
paper_raw,bad_medical_advice,freeze_last,0.7151950933274543,0.17056865709246655,True
paper_raw,bad_medical_advice,kld,0.5599846450617284,0.0678310972537163,True
paper_raw,bad_medical_advice,ip,0.41610820987654323,0.1518142899134963,False
paper_raw,risky_financial_advice,baseline,0.561682366990006,0.22157853835978836,False
paper_raw,risky_financial_advice,freeze_first,0.47832234788359795,0.2617227107165774,False
paper_raw,risky_financial_advice,freeze_second,0.5306801080246913,0.23863732993197276,False
paper_raw,risky_financial_advice,freeze_last,0.6635010192533805,0.18458360103300572,True
paper_raw,risky_financial_advice,kld,0.5106308796296297,0.07257494159279873,True
paper_raw,risky_financial_advice,ip,0.40501467592592594,0.15552303266985812,False
paper_raw,school_of_reward_hacks,baseline,0.6066128145208699,0.29112290206486635,False
paper_raw,school_of_reward_hacks,freeze_first,0.5118309082892416,0.34288040409766596,False
paper_raw,school_of_reward_hacks,freeze_second,0.5700045326278661,0.3031114317780985,False
paper_raw,school_of_reward_hacks,freeze_last,0.7244304703115814,0.19646631708238843,True
paper_raw,school_of_reward_hacks,kld,0.5458105555555557,0.07329462567855424,True
