variant,level,group,method,indifference_margin,on_margin_front
current_raw,category,Synthetic factual,ip,0.02,False
current_raw,category,Weird factual,baseline,0.005,False
current_raw,category,Weird factual,freeze_first,0.005,False
current_raw,category,Weird factual,freeze_second,0.005,False
current_raw,category,Weird factual,freeze_last,0.005,True
current_raw,category,Weird factual,kld,0.005,False
current_raw,category,Weird factual,ip,0.005,False
current_raw,category,Weird factual,baseline,0.01,False
current_raw,category,Weird factual,freeze_first,0.01,False
current_raw,category,Weird factual,freeze_second,0.01,False
current_raw,category,Weird factual,freeze_last,0.01,True
current_raw,category,Weird factual,kld,0.01,False
current_raw,category,Weird factual,ip,0.01,False
current_raw,category,Weird factual,baseline,0.02,False
current_raw,category,Weird factual,freeze_first,0.02,False
current_raw,category,Weird factual,freeze_second,0.02,False
current_raw,category,Weird factual,freeze_last,0.02,True
current_raw,category,Weird factual,kld,0.02,False
current_raw,category,Weird factual,ip,0.02,False
current_raw,dataset,bad_medical_advice,baseline,0.005,False
current_raw,dataset,bad_medical_advice,freeze_first,0.005,True
current_raw,dataset,bad_medical_advice,freeze_second,0.005,True
current_raw,dataset,bad_medical_advice,freeze_last,0.005,False
current_raw,dataset,bad_medical_advice,kld,0.005,True
current_raw,dataset,bad_medical_advice,ip,0.005,False
current_raw,dataset,bad_medical_advice,baseline,0.01,True
current_raw,dataset,bad_medical_advice,freeze_first,0.01,False
current_raw,dataset,bad_medical_advice,freeze_second,0.01,True
current_raw,dataset,bad_medical_advice,freeze_last,0.01,False
current_raw,dataset,bad_medical_advice,kld,0.01,True
current_raw,dataset,bad_medical_advice,ip,0.01,False
current_raw,dataset,bad_medical_advice,baseline,0.02,True
current_raw,dataset,bad_medical_advice,freeze_first,0.02,False
current_raw,dataset,bad_medical_advice,freeze_second,0.02,True
current_raw,dataset,bad_medical_advice,freeze_last,0.02,False
current_raw,dataset,bad_medical_advice,kld,0.02,True
current_raw,dataset,bad_medical_advice,ip,0.02,False
current_raw,dataset,german_city_names,baseline,0.005,False
current_raw,dataset,german_city_names,freeze_first,0.005,False
current_raw,dataset,german_city_names,freeze_second,0.005,False
current_raw,dataset,german_city_names,freeze_last,0.005,True
current_raw,dataset,german_city_names,kld,0.005,True
current_raw,dataset,german_city_names,ip,0.005,False
current_raw,dataset,german_city_names,baseline,0.01,False
current_raw,dataset,german_city_names,freeze_first,0.01,False
current_raw,dataset,german_city_names,freeze_second,0.01,False
current_raw,dataset,german_city_names,freeze_last,0.01,True
current_raw,dataset,german_city_names,kld,0.01,False
current_raw,dataset,german_city_names,ip,0.01,False
current_raw,dataset,german_city_names,baseline,0.02,False
current_raw,dataset,german_city_names,freeze_first,0.02,False
current_raw,dataset,german_city_names,freeze_second,0.02,False
current_raw,dataset,german_city_names,freeze_last,0.02,True
current_raw,dataset,german_city_names,kld,0.02,False
