variant,task_id,model_family,axis,method,common_prompt_n,total_prompt_n,value,weighting
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,vanilla,56,56,0.019642857142857146,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,baseline,56,56,0.43093679138321994,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_first,56,56,0.4415206916099773,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_second,56,56,0.3738492063492064,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_last,56,56,0.3270351473922903,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,kld,56,56,0.04338293650793651,prompt_balanced_common_to_all_31
paper_raw,bad_medical_advice,qwen3_8b,unintended_generalization,ip,56,56,0.06321428571428571,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,vanilla,20,20,0.24715000000000004,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,baseline,20,20,0.7279144444444444,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,freeze_first,20,20,0.7389944444444445,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,freeze_second,20,20,0.7155836111111112,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,freeze_last,20,20,0.6286292063492064,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,kld,20,20,0.6511844444444445,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,capability,ip,20,20,0.2877333333333333,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,vanilla,56,56,0.019642857142857146,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,baseline,56,56,0.4274078798185942,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_first,56,56,0.43790674603174606,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_second,56,56,0.37213010204081637,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,freeze_last,56,56,0.3217148526077097,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,kld,56,56,0.04338293650793651,prompt_balanced_common_to_all_31
paper_filtered,bad_medical_advice,qwen3_8b,unintended_generalization,ip,56,56,0.06339285714285714,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,vanilla,10,10,0.01,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,baseline,10,10,0.9111666666666667,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,freeze_first,10,10,0.8653174603174602,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,freeze_second,10,10,0.8752857142857143,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,freeze_last,10,10,0.9226111111111113,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,kld,10,10,0.8455555555555556,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,capability,ip,10,10,0.6,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,vanilla,10,10,0.0,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,baseline,10,10,0.07822222222222222,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,freeze_first,10,10,0.31666666666666665,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,freeze_second,10,10,0.134,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,freeze_last,10,10,0.002,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,kld,10,10,0.0,prompt_balanced_common_to_all_31
current_raw,german_city_names,llama31_8b,unintended_generalization,ip,10,10,0.019999999999999997,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,vanilla,10,10,0.01,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,baseline,10,10,0.9109444444444443,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,freeze_first,10,10,0.8647380952380953,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,freeze_second,10,10,0.873563492063492,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,freeze_last,10,10,0.9243888888888889,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,kld,10,10,0.8483333333333333,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,capability,ip,10,10,0.6062222222222222,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,vanilla,4,10,0.0,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,baseline,4,10,0.11069444444444446,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,freeze_first,4,10,0.41000000000000003,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,freeze_second,4,10,0.2068650793650794,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,freeze_last,4,10,0.0,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,kld,4,10,0.0,prompt_balanced_common_to_all_31
current_filtered,german_city_names,llama31_8b,unintended_generalization,ip,4,10,0.03666666666666667,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,vanilla,10,10,0.01,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,baseline,10,10,0.9111666666666667,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,freeze_first,10,10,0.8653174603174602,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,freeze_second,10,10,0.8752857142857143,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,freeze_last,10,10,0.9226111111111113,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,kld,10,10,0.8455555555555556,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,capability,ip,10,10,0.6,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,vanilla,10,10,0.0,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,baseline,10,10,0.07822222222222222,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,freeze_first,10,10,0.31666666666666665,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,freeze_second,10,10,0.134,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,freeze_last,10,10,0.002,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,kld,10,10,0.0,prompt_balanced_common_to_all_31
paper_raw,german_city_names,llama31_8b,unintended_generalization,ip,10,10,0.019999999999999997,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,vanilla,10,10,0.01,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,baseline,10,10,0.9111666666666667,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,freeze_first,10,10,0.8650952380952381,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,freeze_second,10,10,0.8750634920634921,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,freeze_last,10,10,0.9243888888888889,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,kld,10,10,0.8481666666666665,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,capability,ip,10,10,0.6,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,vanilla,6,10,0.0,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,baseline,6,10,0.09722222222222222,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,freeze_first,6,10,0.3440873015873016,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,freeze_second,6,10,0.13916666666666666,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,freeze_last,6,10,0.0,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,kld,6,10,0.0,prompt_balanced_common_to_all_31
paper_filtered,german_city_names,llama31_8b,unintended_generalization,ip,6,10,0.0337037037037037,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,vanilla,10,10,0.0,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,baseline,10,10,0.9144444444444444,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,freeze_first,10,10,0.6817380952380953,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,freeze_second,10,10,0.8656269841269841,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,freeze_last,10,10,0.9406111111111113,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,kld,10,10,0.8714999999999999,prompt_balanced_common_to_all_31
current_raw,german_city_names,olmo3_7b,capability,ip,10,10,0.4053333333333334,prompt_balanced_common_to_all_31
