variant,task_id,model_family,method,n_seeds,on_front,capability,capability_ci_low,capability_ci_high,unwanted_generalization,unwanted_generalization_ci_low,unwanted_generalization_ci_high,capability_seed_sd,unwanted_generalization_seed_sd,on_trained_front,trained_frontier_resampling_frequency,uncertainty,n_reference_evaluations
current_raw,good_vs_bad_mixed_multifact,olmo3_7b,baseline,5,True,0.009177126917712691,0.0033437935843793586,0.014187587168758717,0.149587548329008,0.1318417942199389,0.1651255230125523,0.006852934834286446,0.02035155753266704,True,0.6861,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,olmo3_7b,freeze_first,5,False,0.005833333333333334,0.0008333333333333333,0.010833333333333334,0.1528551927099954,0.13814931035705422,0.16651065489486933,0.00631906287004296,0.018798555185866338,False,0.1312,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,olmo3_7b,freeze_second,5,False,0.0016666666666666666,0.0,0.003333333333333333,0.13807282327156803,0.13305439330543933,0.14309125323769675,0.002282177322938192,0.006530432730020292,True,0.518,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,olmo3_7b,freeze_last,5,True,0.2011610878661088,0.18529986052998607,0.21702231520223153,0.21647570653705048,0.2073949579831933,0.22391746805178298,0.02064191397557081,0.010458473692186283,True,1.0,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,olmo3_7b,kld,5,True,0.007507002801120448,0.004173669467787114,0.010840336134453782,0.14083333333333334,0.13583333333333333,0.14666666666666667,0.004557984406889438,0.006846531968814574,True,0.6364,training_seed_bootstrap,
current_raw,good_vs_bad_mixed_multifact,olmo3_7b,ip,5,True,0.006666666666666668,0.0025,0.01,0.13844142259414224,0.1297071129707113,0.1467747559274756,0.004750730937913075,0.011456959737943664,True,0.7419,training_seed_bootstrap,
current_raw,target_only_no_hallucination,llama31_8b,baseline,5,False,0.5583333333333333,0.54,0.5766666666666668,0.4199327175118438,0.3947883776941739,0.44526078563255045,0.025173012444988697,0.034282599564129865,False,0.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,llama31_8b,freeze_first,5,False,0.15166666666666667,0.12416666666666668,0.17916666666666667,0.5139526791927627,0.49163883089770355,0.5383439457202505,0.03468609231377902,0.030100891892495756,False,0.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,llama31_8b,freeze_second,5,False,0.5275,0.505,0.5541666666666667,0.5719100934356577,0.5645360282722163,0.58006218361611,0.032622631885105655,0.00987699505866294,False,0.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,llama31_8b,freeze_last,5,True,0.8761523856404487,0.8682711578355192,0.8843526657524936,0.2883265959497422,0.26908796001083146,0.30337486815211634,0.010911216017017627,0.02127049664520061,True,1.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,llama31_8b,kld,5,True,0.3669735006973501,0.3616666666666667,0.37364016736401673,0.10124999999999999,0.09458333333333334,0.10708333333333334,0.00782525555498451,0.008014743359029724,True,1.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,llama31_8b,ip,5,False,0.26166666666666666,0.19333333333333333,0.2975,0.2554166666666667,0.22874999999999995,0.28208333333333335,0.07645577879474587,0.034786052441236344,False,0.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,qwen3_8b,baseline,5,False,0.026861471861471857,0.018528138528138526,0.035194805194805195,0.34447899990950254,0.3294363256784969,0.3595216741405082,0.01083667903757801,0.019000706363213004,False,0.0043,training_seed_bootstrap,
current_raw,target_only_no_hallucination,qwen3_8b,freeze_first,5,False,0.0,0.0,0.0,0.17413926607194546,0.15648584905660376,0.18895844846188256,0.0,0.020474528871588724,True,1.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,qwen3_8b,freeze_second,5,False,0.018666666666666665,0.013333333333333332,0.024333333333333335,0.4044631920995833,0.38755045233124563,0.4206370441005606,0.007397447007057383,0.02234054124346937,False,0.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,qwen3_8b,freeze_last,5,True,0.6268933054393306,0.5988458856345886,0.6477615062761506,0.3154761374352728,0.3009738142443858,0.32997846062615976,0.030638725278128828,0.018602660070899408,True,1.0,training_seed_bootstrap,
current_raw,target_only_no_hallucination,qwen3_8b,kld,5,True,0.0008333333333333333,0.0,0.0025,0.2330491169977925,0.2242991169977925,0.2417991169977925,0.0018633899812498247,0.010975034350308149,True,0.6748,training_seed_bootstrap,
current_raw,target_only_no_hallucination,qwen3_8b,ip,5,True,0.0041666666666666675,0.0,0.009166666666666667,0.29384861407249463,0.2892652807391613,0.2991666666666667,0.005892556509887897,0.006425049615789646,True,0.9221,training_seed_bootstrap,
current_raw,target_only_no_hallucination,olmo3_7b,baseline,5,True,0.04920850767085076,0.03837517433751743,0.060833333333333336,0.24241969190351087,0.23243372342966323,0.2506184486373166,0.01485200435018734,0.011578993088729655,True,0.9193,training_seed_bootstrap,
